country,city,lat,lon,temp,max_temp,humid,cover,wind
RU,{'sosva'},59.1766,61.8558,47.93,47.93,85,50,2.77
RU,{'askiz'},53.1319,90.5264,56.75,56.75,85,12,4.7
US,{'half moon bay'},37.4636,-122.4286,74.61,96.75,66,1,13.8
MU,{'bambous virieux'},-20.3428,57.7575,70.05,71.22,88,40,9.22
CO,{'uribia'},11.7139,-72.266,86.5,86.5,63,93,11.9
GR,{'methoni'},36.8197,21.7049,71.46,82.22,66,1,3.44
VG,{'road town'},18.4167,-64.6167,82.47,83.19,94,75,9.22
MR,{'nouakchott'},18.0858,-15.9785,80.53,80.53,69,14,22.12
RU,{'sovetskiy'},61.3614,63.5842,52.56,52.56,77,44,0.63
US,{'nantucket'},41.2835,-70.0995,74.35,78.96,95,90,13.8
SS,{'wau'},7.7029,27.9953,70.68,70.68,98,100,1.66
JP,{'kadoma'},34.7333,135.5833,76.98,76.98,81,100,1.14
CA,{'thompson'},55.7435,-97.8558,47.82,47.82,83,100,17.78
US,{'sunland park'},31.7965,-106.58,88.03,92.68,37,75,1.99
VU,{'isangel'},-19.55,169.2667,77.11,77.11,53,40,11.5
CN,{'puqi'},29.7167,113.8833,78.28,78.28,95,98,1.39
PG,{'port moresby'},-9.4431,147.1797,79.16,79.16,75,17,2.37
BR,{'imbituba'},-28.24,-48.6703,55.29,55.29,74,94,10.2
SA,{'faya'},18.3851,42.4509,66.72,69.91,59,87,2.71
CL,{'iquique'},-20.2208,-70.1431,59.04,59.04,75,47,2.89
ID,{'bambanglipuro'},-7.95,110.2833,72.12,72.12,91,18,4.07
BR,{'itarema'},-2.9248,-39.9167,79.5,79.5,82,1,18.05
CM,{'kribi'},2.95,9.9167,75.47,75.47,89,51,7.49
ES,{'el prat de llobregat'},41.3278,2.0947,80.24,85.96,53,0,5.75
SA,{'najran'},17.4924,44.1277,84.85,84.85,28,75,7.36
ML,{'tessalit'},20.1986,1.0114,96.19,96.19,11,50,7.47
NO,{'terrak'},65.087,12.3715,55.27,55.27,96,100,2.86
PF,{'tautira'},-17.7333,-149.15,80.62,80.62,83,71,14.32
CN,{'xichang'},27.8964,102.2634,66.96,66.96,93,100,1.32
GL,{'upernavik'},72.7868,-56.1549,42.67,42.67,86,98,20.13
US,{'houma'},29.5958,-90.7195,77.92,85.98,89,90,0.0
IT,{'vittoria'},36.9537,14.5332,88.81,94.28,25,6,5.75
CA,{'shaunavon'},49.6501,-108.4181,73.18,73.18,34,70,20.71
KZ,{'atbasar'},51.8,68.3333,54.99,54.99,87,100,9.93
BR,{'manaus'},-3.1019,-60.025,79.29,82.9,83,75,3.44
BR,{'sao jose da coroa grande'},-8.8978,-35.1478,74.75,74.75,87,56,8.9
US,{'north platte'},41.1239,-100.7654,91.29,91.29,29,1,10.36
RU,{'dikson'},73.5069,80.5464,42.44,42.44,87,100,12.35
MU,{'grand gaube'},-20.0064,57.6608,71.38,71.38,83,3,5.99
DO,{'la romana'},18.4273,-68.9728,80.96,80.96,89,90,0.0
BR,{'caravelas'},-17.7125,-39.2481,69.58,69.58,88,7,5.35
US,{'sitka'},57.0531,-135.33,58.89,58.89,82,75,9.22
MY,{'labuan'},5.2767,115.2417,80.96,80.96,83,20,4.61
MV,{'kudahuvadhoo'},2.6708,72.8944,82.09,82.09,73,99,13.4
CL,{'coquimbo'},-29.9533,-71.3436,53.33,53.33,82,90,5.75
BR,{'tucuma'},-0.1833,-50.05,75.79,75.79,91,75,6.24
VN,{'tuy hoa'},13.0833,109.3,78.4,78.4,84,100,5.21
GB,{'boddam'},57.4667,-1.7833,56.44,57.58,92,76,11.3
