country,city,lat,lon,temp,max_temp,humid,cover,wind
CA,{'tuktoyaktuk'},69.4541,-133.0374,50.0,50.0,81,90,9.22
IN,{'dhar'},22.6,75.3,73.44,73.44,79,100,6.55
MR,{'atar'},20.5169,-13.0499,103.21,103.21,11,4,13.51
CN,{'xingyi'},24.1877,102.817,63.77,63.77,99,100,2.95
CG,{'mossendjo'},-2.9506,12.7261,76.33,76.33,60,93,2.91
MR,{'nouadhibou'},20.931,-17.0347,75.18,75.18,69,0,18.41
KZ,{'zhezkazgan'},47.8043,67.7144,69.67,69.67,47,1,11.36
GR,{'kallithea'},37.95,23.7,85.82,87.57,52,46,1.99
LK,{'hambantota'},6.1241,81.1185,79.14,79.14,100,40,4.61
PH,{'san policarpo'},12.1791,125.5072,81.1,81.1,79,100,3.83
VE,{'bachaquero'},9.9694,-71.1494,88.61,88.61,63,84,6.26
BR,{'arraial do cabo'},-22.9661,-42.0278,73.26,73.36,78,20,13.8
MN,{'bulgan'},48.8125,103.5347,57.67,57.67,90,63,1.54
MG,{'ambanja'},-13.6833,48.45,70.61,70.61,88,63,1.95
PF,{'atuona'},-9.8,-139.0333,77.38,77.38,75,32,20.15
CN,{'qinhuangdao'},39.9317,119.5883,68.76,68.76,86,100,8.46
SY,{'abu samrah'},35.3029,37.1841,85.8,85.8,36,35,9.95
PE,{'chicama'},-7.8447,-79.1469,66.74,66.74,56,73,10.02
BB,{'bathsheba'},13.2167,-59.5167,88.41,88.41,70,40,21.85
MV,{'kudahuvadhoo'},2.6708,72.8944,81.57,81.57,73,99,10.65
AU,{'new norfolk'},-42.7826,147.0587,44.91,47.7,58,69,5.99
GF,{'grand-santi'},4.25,-54.3833,78.24,78.24,92,100,3.69
NO,{'raudeberg'},61.9875,5.1352,61.43,64.18,77,0,3.38
VE,{'altagracia de orituco'},9.8601,-66.3814,86.02,86.02,62,67,5.48
GB,{'liverpool'},53.4106,-2.9779,65.23,66.65,78,40,3.0
BS,{'rock sound'},24.9,-76.2,83.86,83.86,71,1,16.22
RU,{'belaya gora'},68.5333,146.4167,62.22,62.22,50,100,3.85
NO,{'mehamn'},71.0357,27.8492,57.11,57.38,95,71,8.08
RU,{'petropavlovsk-kamchatskiy'},53.0452,158.6483,41.59,41.59,100,75,6.71
RU,{'solnechnyy'},50.7214,136.6319,53.11,53.11,76,14,3.13
MY,{'limbang'},4.75,115.0,78.91,79.11,98,78,2.51
AU,{'kwinana'},-32.25,115.7667,51.01,52.23,68,100,5.79
RU,{'baykalsk'},51.5058,104.1469,56.37,56.37,90,2,1.05
CO,{'mapiripan'},2.8892,-72.1256,85.08,85.08,68,40,3.85
JP,{'naze'},28.3667,129.4833,78.8,78.8,86,100,18.97
JP,{'kushima'},31.4583,131.2333,79.43,79.43,93,100,3.8
IT,{'lasa'},46.6166,10.7002,68.45,68.68,73,2,0.65
ML,{'tessalit'},20.1986,1.0114,104.11,104.11,11,84,9.86
US,{'princeton'},25.5384,-80.4089,90.36,93.02,67,75,11.5
RU,{'leningradskiy'},69.3833,178.4167,36.59,36.59,78,100,7.65
US,{'hilo'},19.7297,-155.09,74.53,74.93,91,90,6.91
RU,{'suntar'},62.1444,117.6319,56.07,56.07,80,0,2.48
RU,{'tiksi'},71.6872,128.8694,52.79,52.79,83,80,8.5
IN,{'churachandpur'},24.3333,93.6667,69.73,69.73,99,100,2.3
AU,{'burnie'},-41.0667,145.9167,50.32,50.32,71,92,19.93
PL,{'golub-dobrzyn'},53.1109,19.0538,57.31,57.31,72,45,7.54
BR,{'urucara'},-2.5364,-57.76,98.37,98.37,27,36,4.63
PT,{'ponta delgada'},37.7333,-25.6667,75.92,75.92,78,40,12.66
AR,{'necochea'},-38.5473,-58.7368,47.03,47.03,63,88,9.48
RU,{'verkhnyaya inta'},65.9811,60.3094,55.56,55.56,74,13,7.94
RU,{'sobolevo'},54.4299,31.8996,63.59,63.59,81,19,2.15
MV,{'eydhafushi'},5.1033,73.0708,83.16,83.16,73,100,16.2
NZ,{'ahipara'},-35.1667,173.1667,51.04,51.04,84,27,5.1
IS,{'olafsvik'},64.8945,-23.7142,59.09,59.09,67,60,1.25
TH,{'chai badan'},15.2,101.1333,78.12,78.12,88,99,4.47
MZ,{'quelimane'},-17.8786,36.8883,71.55,71.55,83,75,3.44
US,{'half moon bay'},37.4636,-122.4286,74.98,92.91,63,47,6.4
RU,{'kholtoson'},50.2981,103.3097,52.83,52.83,95,92,2.08
KZ,{'petropavl'},54.8753,69.1628,54.75,54.75,92,100,15.93
CD,{'kamina'},-8.7386,24.9906,69.46,69.46,27,86,4.32
SO,{'mogadishu'},2.0371,45.3438,76.08,76.08,86,32,16.73
JM,{'port antonio'},18.18,-76.4612,87.94,91.31,72,94,6.55
NO,{'vardo'},70.3705,31.1107,58.98,61.0,88,40,0.0
BR,{'boa vista'},2.8197,-60.6733,78.78,78.78,83,75,5.75
EG,{'aswan'},24.0934,32.907,99.7,99.7,14,0,6.91
PF,{'vaitape'},-16.5167,-151.75,78.55,78.55,73,22,15.03
